date,country,event,country_full_name,letter_spacing
2024-11-18,fr,"Lancement de la campagne*@*de Santé publique France : « Les antibiotiques, bien se soigner, c'est d'abord bien les utiliser ».",France,-0.1
2024-11-18,br,"G20 : sommet, à Rio de Janeiro (également mardi). Présence des présidents argentin Javier Milei, mexicaine Claudia Sheinbaum, indonésien Prabowo Subianto, français Emmanuel Macron, américain Joe Biden, chinois Xi Jinping.  En l'absence du russe Vladimir Poutine.",Brésil,-0.1
2024-11-18,onu,"Conseil de sécurité à New York : réunion sur la situation au Proche-Orient et sur l'Ukraine.",ONU,0
2024-11-18,fr,"Sénat : examen de la partie « recettes » du projet de loi de financement de la Sécurité sociale pour 2025; vote solennel le 26 novembre.",France,-0.1
2024-11-19,fr,"106e congrès annuel*@*de l'Association des maires*@*de France sur le thème « Les communes... Heureusement ! », *@*à Paris (jusqu’au 21 novembre).  ",France,-0.25
2024-11-19,fr,"Cathédrale Notre-Dame de Paris : installation du reliquaire de la couronne d'épines conçu par le designer Sylvain Dubuisson.",France,-0.25
2024-11-20,fr,"SNCF : grève à l'appel de la CGT-Cheminots, l'Unsa-Ferroviaire, Sud-Rail et la CFDT-Cheminots après l'annonce le 4 novembre du démantèlement de Fret SNCF et l'ouverture à la concurrence.",France,-0.1
2024-11-20,fr,"Melun : comparution au tribunal correctionnel de Pierre Palmade, pour blessures involontaires, aggravées par la prise de drogues, après avoir provoqué un accident le 10 février 2023.",France,-0.25
2024-11-23,fr,"Violences sexuelles : manifestation dans tout le pays à l'appel du collectif d'associations féministes Fondation des femmes, contre les féminicides, les violences sexuelles et toutes les violences de genre.",France,-0.1
2024-11-23,fr,"Renaissance : congrès à Paris, avec l'élection des membres du Conseil national par les*@*8 500 adhérents du parti (également dimanche).",France,0
2024-11-24,uy,"Second tour de l'élection présidentielle. En lice : le candidat de la gauche Yamandu Orsi, et celui du Parti national de centre-droit au pouvoir, Alvaro Delgado.",Uruguay,0
2024-11-24,ro,"Premier tour de l’élection présidentielle.",Roumanie,0
